0|14|13|18|13|7|3|19|1|11|1|1|11|9|5|14|17|3|4|15|12|13|2
10|1|18|8|11|15|13|14|11|3|6|8|19|4|11|19|12|-1|17|7|6|4|5
6|10|2|9|3|19|4|5|9|13|12|8|18|1|5|8|1|4|17|15|19|19|15
20|19|14|3|18|13|12|8|1|1|17|5|14|7|15|2|9|7|14|2|2|14|11
9|13|8|0|4|3|8|14|15|2|6|9|3|18|19|18|17|13|1|7|6|12|8
16|22|3|2|7|5|13|19|14|8|2|19|13|15|1|4|12|18|3|11|7|18|1
15|14|12|0|15|12|6|5|2|1|17|4|18|17|5|5|17|9|12|15|11|8|19
6|4|1|4|16|20|5|7|14|8|15|1|13|9|1|18|12|5|19|11|14|11|7
7|7|9|13|22|1|21|14|8|11|6|14|2|11|9|1|6|18|11|14|6|6|4
11|3|1|0|18|6|5|2|4|9|3|5|18|19|1|8|13|8|3|14|17|1|18
20|11|21|11|2|12|12|14|2|20|10|17|13|9|15|4|7|4|6|2|12|2|15
3|16|3|22|9|18|0|21|2|8|2|11|5|12|19|9|12|4|8|14|-1|7|3
17|10|7|19|5|17|8|15|17|11|0|17|12|2|13|8|9|3|2|15|3|13|2
17|0|7|5|11|1|12|15|15|1|18|3|15|13|7|17|6|6|2|3|-1|12|14
8|19|6|21|15|4|10|18|1|15|16|4|8|22|14|9|17|5|12|9|-1|3|13
6|7|9|0|13|18|16|4|2|13|16|6|8|6|8|15|4|4|3|5|-1|1|7
10|4|18|20|2|4|20|5|7|22|1|15|10|8|20|17|16|12|2|7|-1|4|9
9|5|3|22|19|6|5|21|19|13|1|15|19|10|5|10|9|17|4|18|-1|7|3
3|19|3|18|11|21|12|0|17|22|11|5|1|12|12|13|12|13|18|11|-1|5|9
3|10|21|6|15|1|22|2|20|16|7|16|3|3|10|6|13|7|13|19|-1|2|6
14|19|14|17|12|0|4|16|19|14|0|14|0|11|7|13|21|6|9|7|20|12|7
22|3|0|17|19|19|20|8|14|18|0|9|22|11|20|6|10|16|16|5|19|21|15
2|17|18|15|7|10|16|11|9|21|4|1|18|10|2|21|20|13|12|6|13|20|22
